[NEW_DOCUMENT: DOCid=0, lang=nah, DOCNAME=CENTE COUATL HUAN TLACATL ].	[NEW_DOCUMENT: DOCid=0, lang=spa, DOCNAME= LA CULEBRA Y EL HOMBRE ].
Occepa onahuat couatl: —Tle amo timoneltoca? —Amo, amo noneltoca tlen tiquitohua. —Tía amo timoneltoca, xiqumhuallica nahui tlaca ihuan mixtla niquintlatlaniz, ihuan tiquitaz que mellahuac, que ce qualli ica ce amoqualli moxtlahua.	El buen hombre le dio las gracias al buen coyotito. —Ahora, buen coyotito, vamos juntos a mi casa. —¿A hacer qué? —Quiero regalarte algunos pollos. —No déjalo; yo me voy por aquí. —¡No, vamos! —Mira, ahora ya es tarde; es mejor, si quieres regalármelos, que mañana temprano me los lleves sobre ese montículo; te esperaré muy de mañana; cuando aún no sale el sol.
Niman oya qualli tlacatl, oquitemoto nahui oquichyolcame.	Al dar las cinco ya estarás ahí.
Amo 2hueca onene, zan ica nepa oquinnextito, oquinhuallicac cente quacue, cente cauayo, cente hueymiztli ihuan cente coyotl.	Así quedamos. —No, no vendrás y me harás regresar en balde. —No, aquí te esperaré, buen hombre. ~~~ En esto convinieron el coyote y el hombre.
Couatl open quintlatlanía occequin yolcame ixtlan qualli tlacatl cecentiacan: —Qualli hueymiztli, amo mellac que ce qualli ica ce amoqualli moxtlahua? —Quema. —Qualli quacue, amo mellac que ce qualli ica ce amoqualli moxtlahua? —Quema. —Qualli cahuayo, amo mellac que ce qualli ica ce amoqualli moxtlahua? —Quema.	
Imán nin qualli tlacatl oquicac nochi tlen inin yolcame oconitoque, que nochi qualli ica ce amoqualli moxtlahua, omocamic.	El buen coyote tomó por el llano y se fue; el buen hombre también cogió su camino. ~~~ Cuando llegó a su casa no más veía atontado.
Za coyotl opollihuía quitlatlaniz tía mellac onoce amo mellac tlen oquitohuaya couatl.	Le dice su mujer: —¿Qué te pasa? ~~~ Nada más estás mirando atontado.
Oacito couatl itech coyotl: —Qualli coyotl, amo mellac que ce qualli ica ce amoqualli moxtlahua? —Pollihui niquitaz que otieya huan icón qualli timitzilhuiz tía mellac onoce amo mellac tlen tiquitohua, tía qualli tiquaz nin qualli tlacatl onoce amo.	Entonces comenzó a contarle lo que le había pasado: —Me encontré con una culebra que quería comerme.
Tlaximotlalli que ochtopa otieya.	Al oírlo se asustó la mujer: —Ya te decía que no salieses.
Occequin yolcame onahuatque tlamach: —Man motlalli, tía tiquittacan!	No me oíste, si no, no te hubieses espantado; ya viste que por la voluntad de Dios no te pasó nada; porque Dios te mandó a ese animalito para que te ayudase.
Niman omotlalitihuetz occepa itzallan quame, oncan quilhuía coyotl: —Axan ompa ximocahua, tehuan ye tiaui.	De otro modo, yo no hubiera sabido lo que te había pasado; no habrías regresado a casa. —Ahora iba a traer al buen coyotito. —¡Dios no lo quiera!
Oquicateque, mocuellotica ihuan pitzatzi, que imán oquinextito qualli tlacatl.	Acabaría con mis pollos. —No accedió a lo que le decía que escogiese él mismo los que quisiese entre los pollos mejores y más gordos.
Qualli tlacatl oquitlazocamachilli qualli coyotl. —Axan, qualli coyotl, cepan tiacan nochan. —Tlen taitihue? —Axan nicnequi timitzintlacolliz cequi pióme. —Amo, xiccahua; nehuatl ica nican nia. —Amo, tiahue! —Axan tlaxquita, ye tiotlac; ocachi qualli tía ticnequi tinechintlacolliz, moztla, zan ocuatzinco, xinechinhualiquilli ipan inin tlatlatelli, timitzchía, zan ocuatzinco, iquac ayemo quixohuatzin tonnalli; imán tzilliniz macuilli tepozcalapillolli ye oncan tíez iquión tocahua. —Amo ye, amo tihuallaz huan zan nenca nocuepaquin. —Amo, in ica, nican timitzchía, qualli tlacatl.	
Omocacaque que coyotl que tlacatl.	Mañana, muy temprano, quedé con ese animalito en llevarle algunos pollos.
Qualli coyotl oquiquitzque ixtlahuac, huan oya qualli tlacatl no oquiquitzqui iohui.	Escoge unos pollos buenos pues mañana, ya te dije, se los llevaré. —Mañana no irás a ningún lado.
Oecoc ichan zan mocamauhcatlachía.	No quiero que le lleves nada a ese maldito animal: ni un solo pollo.
Quilhuía izouan: —Tlenon mopan mochihua?	Ya se me ocurrió qué es lo que debes hacer. —¿Qué?
Zan timocatlachía!	Dímelo. —No seas tonto, ¿qué ha de ser?
Imán ye open quinonotza, tlen ipan omochihuazquia: —Onicnextito cente couatl oquinequía nechquaz.	
Niman omocamic zouatl. —Yotimitzilhuiaya amo otiani; amo otinechcac, tlamo amo otimomotiani otiquittac que ica Dios ihuelitzin amitla mopan omochin, icanica Dios omitztitlanilli inon yoyolcatl omitzpaUehuito, tlamo axan nehuatl amo nicmatizquía tlenon mopan omochihuani amo otiuallacallaquini. —Axan oniquallicazquía qualli coyotl. —Mancamo Dios!	Deja los pollos y llévale esos perros que son de los más mordelones; pónlos dentro del saco de pita y en cuanto llegues a donde te espera, sin acercarte a él demasiado, desde lejos, se los sueltas. —Lo que has discurrido, mujer, no está bien. ~~~ ¿Cómo quieres que le lleve lo que no debo llevarle?
Oncan quintlamiz nopiouan! —Amo oquinec oniquilhuiaya, oncan oquin tlapepeniani tlen yehua oquinequini inon pióme ocachi quaqualli, totomaque.	Lo engañaría. ~~~ ¿Por qué no eres buena, mujer? ~~~ Voy a llevarle los pollos. —Ya te dije que no, y si se los llevas, me enfadaré contigo, y armaré la gorda.
Axan moztla zan ocuatzinco yotocaque ica nin yoyolcatl, niquinhuiquilliz cequi pióme; xinech in tlapepenilli non quaqualli pióme; moztla, yotimitzilhui, niquinhuicaz. —Moztla amo cana tiatica.	El hombre no quiso disgustar a su mujer e hizo lo que ordenaba. ~~~ Al día siguiente, metió los perros en el costal de pita y salió muy temprano.
Amo nicnequi ida ticuiquilliniz inon xolopi yolcatl!	Se cargó los perros en lugar de los pollos que había ofrecido el día anterior.
Nian cente pioton!	El hombre deseaba que no estuvieseahí el coyote.
Yo nicnemilli occachi qualli tlen ticchihuaz. —Tlenon?	Ya iba llegando el hombre, y estiraba el pescuezo para ver si ya estaba ahí el coyote.
Tía xinechilhui! —Amo xi ixquahuitl!	Lo descubrió desde muy lejos.
Tlen ticchihuaz xiquincahua pióme, xiquinhuiquilli non chichime occachi tlaquaquani, xiquintlalli itic ichpoxatli ihuan zan que taciz canin mitzchía, amo zazan ximopacho itlac zan hueca xiquincacahuilli. —Tlen oticnemilli amo qualli ca!	
Quénin ticnequi nicichhuicaz tlen amo nicuiquilizquia?	El coyote, muy contento, iba y venía, esperando sus pollos.
Zan nicquamanaz! ~~~ Tleca amo qualli tizohuatl?	Llegó arriba del montículo donde ya lo esperaba el coyotito.
Nia niquinhuicaz pióme. —Yotimitzilhui que amo, huan tía tiquinhuicaz niquallaniz ihuan nichueicachihuaz.	Este comenzó a reír muy contento. —Bueno coyotito —le dijo el hombre—, ya que vine a traerte los pollos.
Tlacatl amo oquinec quiquallaniz izouan, oquichin tlen oquitequimacac.	Ahora dime: ¿cómo quieres que los suelte?
Moztlatica tlen oquichin oquinaqui itic ichpoxatli, zan ocuatzinco oquiz.	¿Uno a uno, o todos juntos? —Que no sea uno a uno; es mejor que sea juntos, para que yo me divierta cazándolos.
Oquinmamaten chichime oquinmacato nelli pióme que yeyalhua omocaque; tlacatl oquinequía amonpon oyenicoyotl; yoacitaya tlacatl on moquequechtilana tía ye ompon oyeya onoce amo coyotl, oquixtlallo zan hueca.	El hombre empezó a soltar la boca del costal; mientras, el coyotito se había sentado a esperar que saliesen los pollos, imaginándose ya que los cazaba, sentía que los cogía.
Coyotl zan papaqui papaxialohua, quinchía ipiohuan, oecoc ipan tlatlatlelli canin ye oquichíaya cocoyotl, open huehuetzca coyotl, papaqui. —Qualli cocoyotl yonihualla, timitzincahuillico pióme, Axan, quénin ticnequi timitzincahuilliz, cecentiacan onoce tlamach? —Cecentiacan amo, ocachi qualli tlamach xinechcahua, man nitlamahuizo.	
Open quicamactotoma ichpoxatli.	¡Y he aquí que le fue soltando los perros!
Coyotl yomotlalli za quinchía quizazque pióme, on momamatti ye oquinquitzqui.	¡De esos que arrastran las orejas! ~~~ Y apenas los vio el coyote, ya estaban sobre él.
Oquincacan chichime, non nacazhuihuilaxtique.	Primero se asustó, y a la vez que se asustó, se revolvió furioso a reñir con los perros.
Coyotl zan que oquimitac ipan oyetaque, omocamic, iquion que omocamic noiqui omotlahuelcuitiquiz ica chichime motehuía, motehuía, chichime oquitlanitzpozteque coyotl, coyotl oquinquetzo nohuian, oquinmapopoztec oquinnacazcocoton, que ce que occe omocoltique.	Los perros le quebrantaron los huesos de las patas, mientras él los mordía por dondequiera, rompiéndoles las manos y desgarrándoles las orejas. ~~~ Mutuamente se lastimaron.
Coyotl zan que oquittac que oquixilique, ochollo ica itic quayo, amocehuitaya, otlachiaya ica nica oquincan amoqualli tlacatl ica ichichihuan; omataya canin oquicocoltique ihuan otlacolcho! ca ya coyotl oquitohuaya: —Ua, ua, ua, ua, ua, ua, Qualli oquitohuaya couatl que ce qualli ica ce amoqualli moxtlahua!	En cuanto el coyote comprendió que iban a ganarle, huyó bosque adentro. ~~~ Se reposaba a trechos, volviéndose a ver hacia donde había dejado al hombre con sus perros, y contemplando las heridas que le habían causado, exclamó llorando: —Gua, gua, gua, gua, ¡Con razón decía la culebra que un bien con un mal se paga!
[END OF DOCUMENT].	[END OF DOCUMENT].
[NEW_DOCUMENT: DOCid=1, lang=nah, DOCNAME=CACAPIZCAYOTL HUAN TECUANI ].	[NEW_DOCUMENT: DOCid=1, lang=spa, DOCNAME= EL ZORRITO Y EL LOBO ].
CACAPIZCAYOTL HUAN TECUANI .	EL ZORRITO Y EL LOBO .
Cente capizcayotl ica iconen ochantía itic cente huey tlacoyotl, canin oquipiaya inchan.	Una zorra vivía con su hijo dentro de un gran hoyo, en donde tenían su casa.
Cecpa nantli quilhuia iteconen: —In icuac cana tipaxiolotin, amo zan ica tia; nia timitzilhuiz aquinon timotlatlachilliz. —Que aquinon notlatlachilliz? —Nia timitzilhuiz: ximixoti none nin yolcatl itoca tecuani.	Una vez la mamá le dijo a su hijo: —Cuando a alguna parte vayas a pasear, no así nomás vayas; te voy a advertir de quién debes cuidarte. —¿Cómo de quién debo cuidarme? —Te lo voy a decir: cuídate de ese animal que se llama lobo.
Imán oquiz iconen nin capizcayotl, occepa oquilhui que achtopa, man mixoti imán quizaz ame quitaz tecuani. —Ye otimitzilhui ximoixoti in icuac tiquizaz. —Huan tlenon inon tecuani? —Ah noconen!, Inon tecuani campa mitzitaz, yeca ye omitzcua. —Tle nechcuaz?	Cuando salió el hijo de esta zorra, volvió a decirle, como la vez primera, que cuidase de que no fuese a verlo el lobo. —Ya te dije que te cuides cuando lo veas. —¿Y qué es eso de lobo? —¡Ah, hijo mío!, ¡El lobo, en donde te vea, ya está que te comió! —¿Qué me comerá? ~~~ ¿Y que me hará? —¿Qué te hará?
Yatlen nechchihuaz? —Oque tlen mitzchihuaz?	Te matará y ya nunca volveremos a vernos.
Mitzmictiz huan yoquic totazque; timitzilhuía, in icuac tiquitaz xictlacolhui xicholo. —Axan ye oniccac tlenon nicchihuaz inicuac niquitaz in tecuani; axan ayocmo niquilcahuaz.	Haz como te digo, y cuando lo veas, aléjate de él. —Ahora ya oí lo que debo hacer cuando vea al lobo. ~~~ Ahora ya no se me olvidará.
Open papaqui tetentzicuini. —Nana —quitohua cacapizcayotl— , nozo tinechmocahuiliz moztla nipaxialotin. —Icanica ticnequi tiaz?	Y empezó a saltar de gusto. —Mamá —dijo el zorrito—, ¿por eso me dejará usted mañana salir a pasear? —¿Por dónde quieres ir?
Ye yalhua ye otimitzilhui tía nehuatl amo niquizaz, amo cana tiatica.	Ya te dije ayer que si yo no salgo, no irás a ninguna parte.
Moztlatica za ce onquiz huan quilhuía inan: —Axan nia nipaxialotin, huan tía ye niquitta in tecuani, tlenon nicchihuaz?	Apenas amaneció, le dijo a su mamá: —Ahora voy a pasearme, y si veo al lobo ¿qué cosa hago? ¿lo saludo? —Que no; ya te dije que te retires y escapes corriendo. —Está bien, mamá.
Nitetlapaloz? —Amo; ye otimitzilhui, xictlacolhui huan xiquiztiquiza. —Cualica nana.	Salió el zorrito a pasear por todas partes, y por donde iba nomás miraba asustado y cuidándose.
Oquiz cacapizcayotl opaxialoto ica nohuian huan icanica oyaya zan omocatlachixtaya motlatachilía, neci ye oquimatia ye oquitaya icanica oyaya huan oquicaquia otlatzanatzaya ahuaxihuitl; omomanía nepa canican mocatlachia ixtepepelahui huan occepa opehuaya nenemi.	Parecíale que se le iba a aparecer por donde iba y creía oír que hacía ruido en la hojarasca de encino y se detenía.
Zazan huele oquilnamictaya in tecuani zan animatetecuini ica oyataya.	A todas partes veía asustado y luego otra vez echaba a andar.
Huan hueliz quimach onene orne huan tlaco necehuilli icuac oquitac itzalan tlacoyo huan alhuame, ompa ye 22oyuhtaya nin tecuani, zan ye yehuatl non cecpa oquiititi inana.	Nada más se acordaba del lobo y le brincaba de susto el corazón por donde iba andando.
Tlen oquichin oquiztiquiz capizcayotl huan ocalaquito ichan; zan mocuitlapil etequetzi; niman oquilhuito inana: —Nana, ye oniquittac none tlen itoca? —Tlenon otiquittac?	Y habría andado dos y media leguas, cuando lo vio en medio del breñal y los encinos; allí 23estaba yendo el lobo, el mismo que una vez le había enseñado su mamá.
Xinechilhui. —Inon yolcatl. —Tlen itocayo?	Lo que hizo el zorro fue escapar corriendo y meterse en su casa.
Coyotl? —Amo. —Ya tlenon nozo? —Amo niquilnamiqui. —Huey miztli? —Amo; quinozo tlenon. —Hueliz tecuani? —Inon, inon tecuani! —Ica Dios ihuelitzin amida omitzchihuilli! —Amo, tía yehuatl amo nechitac, tía nehuatl oniquitac huan onalcholo. —Ye otimitzilhui amo cana xiquiztinemi mocecelton, tlamo quemanian ayocmo ticalaquiquin. —Melac nana, ayocmo cana niaz huan tía niquizaz ayemo hueca notlapoz, za ica nican nipapaxialotin.	Iba con la cola levantada. ~~~ Luego le dice a su mamá: —Mamá, ya lo vi, ése, ¿cómo se llama? —Qué cosa ya viste?, dime. —A ese animal. —¿Cómo se llama? ~~~ ¿Coyote? —No. —Pues, ¿qué cosa? —No me acuerdo. —¿León? —No, no sé qué. —¿Puede que el lobo? —Ese, ése, el lobo. —Por obra de Dios, no te hizo nada. —No, si él no me vio, mientras que yo sí lo vi y eché a correr. —Ya te dije que no salieras solo a ninguna parte; si no, alguna vez ya no volverás. —De veras, mamá, ya no iré a ninguna parte, y si salgo, ya no me iré muy lejos, nada más por aquí cerca me pasearé.
Moztlatica occepa oquiz, ya amonpa oyeya inana.	Al otro día volvió a salir, pues no estaba ahí su mamá.
Omotlalota ica nohuian que achtopa zan opapatlacapa neci oquimatia ye oyaya quitaz occepa in tecuani.	Se fue a andar por todas partes, y como la primera vez, temblaba todo él. ~~~ Parece que presentía que iba a ver otra vez al lobo.
Melac hueliz quimach tlatlaco otli oyaya icuac oquicac oquinmimiloque cequi teme.	Y de veras, apenas iría a mitad del camino, cuando oyó que echaron a rodar algunas piedras.
Ocachi ye omocamic omoma huan otlachiaya in icanica otecuepque huan oquitac zan ye yehuatl tecuani, ompa icatica huan otlachiaya icanica oquitac cente cuapitzo ye oyaya caciz.	Se espantó más y se detuvo a ver por dónde habían caído las piedras. ~~~ Y vio que era el mismo lobo que ahí estaba parado mirando por dónde se había ido un jabalí que iba a cazar.
Huan nin tecuani amo oquitaya capizcayod, huan capizcayod ayecmo oquimatia tlenon, quichihuaz, za que cuatepolli omocan, neci ayocmo tlalpa onemia, neci oquimatia nochi icxihuan ye ocepoque.	Y el lobo no veía al zorro, y el zorro no sabía qué hacer; se quedó hecho un tronco, parecía que ya no estaba sobre la tierra, le parecía que sus patas se habían congelado.
Yolic huan cualli oquicata in nemotilli huan occepa omoyolchican huan omopachota yolic huan cualli itlac tecuani, huan quilhuia capizcayotl: —Cualli tecuani, tlen taxtica?	Poco a poquito fue perdiendo el miedo y cobró ánimo otra vez, y, lentamente, se acercó al lobo y le dijo: —Buen lobo, ¿qué haces? ~~~ Entonces se volvió el lobo.
Imán omocuep tecuani, nin capizcayotl oquicualitac nin zan yehuatl omolhui: "Cuallica, cualli cempa tiatinemizque que cepan yani.	Gustóle al zorro y éste se dijo a sí mismo: "Qué bien estaría que anduviésemos juntos como amigos.
Cuacualtzin nin tecuani, huan quénin nonana onechilhui tlamictiani huan tecuani?	Es muy bonito este lobo, y ¿cómo es que mi mamá me dijo que mata y devora a la gente?
Amo melac; nehuatl nia nic tlapaloz.	No es cierto. ~~~ Yo lo voy a saludar. "
Oqui tlapalo:—Quen otipanoc cualli tecuani? —Huan tehuatl que otitlahuilli capizcayotl? —Tlenon tictemotinemi ic oncan? —Nican notlayecahuilitica itzintlan nin cuacuahuitl. —Axan niquita que no nana amo oquipiaya tlenica onechilhuiani mocatzinco.	Lo saludó: —¿Cómo te va, buen lobo?—¿Y tú cómo amaneciste, zorro? —¿Qué andas buscando por aquí? —Aquí estoy descansando a la sombra de este arbolito. —Ahora veo, pues, que mi mamá no tenía por qué decirme mal de usted.
Otlato ihuan: —Tlenon omitzilhuique, noca otlato? —Amo onopachohuani itlac tecuani ya amo cualli tlacatl huan nechcuaz. —Mo nana nian niquixmati, nian mechixmati huan tleca iquión nocatlatohua?	Le pregunta: —¿Qué te dijo? ~~~ ¿Habló de mí? —Que no me acercara junto al lobo, que era muy malo y me devoraría. —A tu mamá ni la conozco, ni me conoce, ¿por qué habla así de mí?
Amo ximoneltoca; nehuatl cualli nitlacatl ica amehuan an tetelpocame quetehuatl.	No creas: yo soy bueno con ustedes los jóvenes como tú.
Nia timitzititiz que nehuatl cualli nitlacatl: xihuala ica nehuatl huan timitzititiz tlenon ticchihuazque, tiahue titlamotlazque, ocachicualli tehuatl ocachi tixihuian tiquinmotlaz zayoltin.	Voy a demostrarte cómo soy bueno; ven conmigo y te enseñaré qué vamos a hacer; vamos a cazar. ~~~ Lo mejor es que tú, por ser más listo, caces a los moscos.
Oquito que quema.	Dijo que sí.
Imán oquimamalti itepoz huan oyaque.	Luego cargó la escopeta y se fueron.
Hueliz quimach ce necehuilli huan tlaco onenenque, icuac oquinamic cente chichiton; zan que oquitac tecuani omotlati itic xicamac; huan chichiton quilhuia nin cacapizcayotl ipan inacaz: —Tía amo tihuian iccemi tipolitica. —Amo; tía ye otacaque otinquinmotlaco zazayoltin, huan tía ye nic mayahuiz cente nicquetzomaz, huan tía amo yehuatl nechquetzomaz. —Yeca! ~~~ Ye omitzcuamichaqui, tía ticmayahuiz onoce amo, yehuatl mitzcocotlancuacuaz.	Apenas habrían andado legua y media, cuando se encontraron con un perrito, que tan pronto como vio al lobo se escondió entre la hierba, y el perrito le dijo al oído al zorrito: —Si no te pones listo, estás perdido. —No hay cuidado; ya quedamos en ir a cazar moscos, y si yo cazo uno, lo morderé, y si no, él me morderá. —Ya está visto que te engañó; caces o no, él te morderá el pescuezo.
Oya chichiton huan oquincaten.	El perrito se fue y los dejó.
Za nepa onenenque huan oacito ipan ce ixtlahuatl huan oquilhui capizcayotl nin tecuani: —Tle amo ticnequi man titlamotlacan ica inin to tepoz huan tiquitazque tlamo iztlacati?	A poco caminar llegaron a una llanura y el zorro le dijo al lobo: —¿No quieres que disparemos con nuestra escopeta para probarla?
Quitohua tecuani: —Cuallica, xictlamotla tlen ticnequiz. —Ticnequi timotlalitin tehuatl huan iquión niquitaz tía cualli nitlamotla. —Ida occe xicmotla huan amo nehuatl.	Dijo el lobo: —Está bien; dispara sobre lo que quieras. —¿No quisieras ponerte de blanco para que yo pruebe a ver si tengo buena puntería? —Dispara sobre lo que quieras menos sobre mí.
Tle amo tiquitaz nehuatl nichiantic huan ticmotlaz ida iztac? —Ye otiquitac non nepa zayolli quimintica cente cuacue itzinpa?—Ye oniquitac —oeonito tecuani, masqui amo oquitaya. —Tía xic melahuilli in tepoztli huan xicmotla.	¿No ves que soy de color pardo y que debes disparar sobre algo blanco? —¿Ya has visto a ese mosquito que está picando a ese buey en un anca? —Ya lo vi —contestó el lobo, si bien no lo veía.
Capizcayotl oquitlalilli tepoztli itlacual ihuan oquimotlac.	
Imán otzatzic capizcayotl huan oquito: —Onicmacac ipan ixci.	Apúntale con la escopeta y tírale.
Huan xihualmica tehuatzin, cualli tecuani.	Cargó la escopeta el zorro e hizo fuego.
Huan otzicuintin quename ce mazad; huan quimach otzicuinque tlaco necehuilli, icuac oquitaque cente cuaque ozacacuatinemia.	Luego gritó el zorro diciendo:—¡Le pegué en una pata!, ¡Venga usted, amigo lobo! —dijo el zorro, y echó a correr como un venado.
Huan omopachota capizcayotl itlac cuacue huan quitlatlanti ica ce cualli: —Cualli cuacue, tle amo otimotilli iconcan cente huey zayolli? ~~~ Quitohua cuacue: —Quen amo niquitaz!	Habrían corrido cosa de media legua cuando toparon con un buey que andaba paciendo por allí. —Buen buey, ¿no ha visto usted por aquí un gran mosquito?
Huan amo zan oniquita no iqui onicac otzatzitaya nelli oquimotlaque ipan cente ima huan oquicotinilique; hueliz ipan omochin icuac onicac ic oncan notlac ozolontiquiz itlacual tepoztli.	Dijo el buey: —¡Cómo no iba a verlo!, ¡Y no solamente lo vi, sino que lo oí gritar que le habían dado un tiro en una mano y se la habían roto!
Imán inon oquicac tecuani, omocamic, zan ixquiquiza, oconitaya Capizcayotl huan oquitohuaya tecuani: —Axan man tiacan canin oticonitoque.	
Onahuat capizcayotl: —Tlen taitihue zazan hueca?	Entiendo que esto ocurrió en el momento en que oí zumbar una bala.
Zan nican tóncate, tlaxquita mopan ticpia cente zayolli; ximochia man niquitilli.	Cuando escuchó esto el lobo se asustó y, espantado, sacando tamaños ojos, veía al zorro y le dijo: —Ahora vámonos por donde habíamos dicho.
Imán oquitiliaya, otzicuinten huan hueca omomanato huan papatlaca.	Contestóle el zorro: —¿Y a qué vamos a ir tan lejos? ~~~ Quedémonos aquí.
Quitohua capizcayotl: —Tlen oticonitoque ye oticonitoque, amo ximoolini, ximochia, tlamo ipan moticalactiquizaz itlacual tepoztli.	¡Mira, se ha parado sobre ti un mosquito!, ¡Espera, voy a tirarle!, Luego que le apunta echa a correr y deteniéndose a alguna distancia, le dice al zorro, todo tembloroso: —Lo dicho, dicho.
Oquilnamic Tecuani quénin moquixtilliz ica capizcayotl, oquican tatapahui capizcayotl, quilhuia: —Axan niquilnamictica, onican nonaca itic nocal, huan amo onictzacten.	No te muevas, espera, ¡que no vaya a escaparse el tiro de la escopeta! ~~~ Entonces se le ocurrió al lobo decirle al zorro, para quitárselo de encima: —Ahora me acuerdo de que dejé mi ración de carne en la casa y me olvidé cerrar la puerta.
Inon oquito imán oquitac capizcayotl oquitiliaya.	Eso le dijo cuando vio que el zorro le apuntaba.
Tecuani quitohua: —Xinechchía, ye nihuitz.	Le dijo el lobo: —Espérame, ya vengo.
Oquiztiquiz oya, omocaltzac ichan; ayoquic omocalacti inca occequin yolcame; tlamo quemanian oquimictiani.	Y se escapó corriendo a encerrarse en su casa y ya no volvió a salir ni a meterse con los demás animales por temor de que lo matasen.
[END OF DOCUMENT].	[END OF DOCUMENT].
[NEW_DOCUMENT: DOCid=2, lang=nah, DOCNAME=TOTOCHTLI HUAN MAZACUATL ].	[NEW_DOCUMENT: DOCid=2, lang=spa, DOCNAME= EL CONEJITO Y LA CULEBRA ].
TOTOCHTLI HUAN MAZACUATL .	EL CONEJITO Y LA CULEBRA .
Cecpa cente totochtli oquiz itic itlacoyoc; omotlacualtemoliaya ica ixtlahuapa zacacuatinemía, in icuac oquitac ye ohualaya ce cualli quiatepozcatli.	Una vez un conejito salió de su agujero; se iba en busca de su comida por el llano. ~~~ Estaba comiendo pasto y cuando advirtió ya venía un buen aguacero.
Tlen oquichin?	¿Qué fue lo que hizo?
Oya omotlatizquía itic cente ooztotl; inin amo oquimatia tía ompa oyeya cente mazacuatl.	Se fue a esconder dentro de una cueva. ~~~ El no sabía que ahí dentro ya estaba una culebra.
Ye oquimatia que icuac ce cualli huepahualiztli quipia, ayic zan cacalacti ipan zazo tlen chantli, achtopa te tlapaloa, huan tía quinanquilía calaqui, huan tía amo te nanquilía, amo calaqui.	Sabía, sí, que cuando uno tiene buena educación, nunca se mete uno sin más ni más en una casa [sino que], primero se saluda y, si le contestan, entra y, si no le contestan, no se entra.
Icuac oacic caltenco ooztotl, tlen oquichin tetlapalo: —Ma niquito oquitlapalo cualli ooztotl.	Cuando llegó a la cueva lo [primero] que hizo fue saludar. —Le diré un saludo a la buena cuevita.
Quilhuía: —Quen otipanoc, cualli ooztotl, quien otitlathuilli?	Le dice: —¿Cómo lo has pasado, buena cuevita, cómo amaneciste?
Onahuat in amocualli mazacuatl: —Cualli, tlazocamati; xicalaqui cualli totochtli; quen otiquilnamic que otinechtlapaloco?	Contestóle la malvada culebra: —Bien, muchas gracias; pasa, buen conejito; ¿cómo es que te acordaste de venir a saludarme?
